maglong        maglat
319.1           30.7
347.4          -49.2
344.5          -37.3
313.6          -11.4
177.0           31.3
  3.0          -31.3
308.0            4.6
165.0           42.8
352.6          -22.2
307.0            8.8
190.3           19.3
  3.6          -28.2
306.1           -2.3
180.2           32.4
  9.1          -29.7
355.7          -39.3
286.8           21.2
207.7           19.8
192.1           18.9
202.3           35.8
 44.9           41.3
 23.8          -41.4
  9.3          -25.9
 18.3          -15.8
186.2           27.3
 31.1           -0.8
165.5           12.7
202.3           37.2
191.5           59.7
297.2          -16.4
248.7            6.3
155.8          -57.5
190.1           11.8
341.3          -11.4
346.3           -3.4
184.6            3.0
323.2           62.6
210.5           62.3
316.0          -16.3
306.9          -19.2
331.0          -31.0
298.1          -12.3
296.2          -21.7
 10.9          -14.5
249.0           28.8
262.3           38.2
270.0           31.8
338.5           -6.0
332.2           -2.8
222.3            3.4
  3.3          -20.6
325.9           -5.7
345.6            4.6
294.4          -34.4
358.7           -8.2
 23.8          -44.3
 20.8          -43.5
280.5            8.7
347.4          -47.2
341.9          -48.3
 10.2          -17.4
 12.4           -2.7
321.0          -17.6
 16.7          -45.5
353.5          -22.7
264.8           26.8
258.5           39.1
310.6           15.3
281.2          -12.0
  7.0          -15.4
342.8           23.2
243.6           47.2
 89.4           22.5
339.7           70.3
359.9           71.9
314.1          -45.1
325.4          -24.4
  1.9          -19.6
177.3           -7.1
324.5          -68.3
346.9          -58.1
350.0          -57.5
321.4           -1.6
314.6           -5.7
320.6          -22.3
304.7          -17.3
314.2          -22.6
306.3          -16.5
271.6          -18.4
316.0          -36.7
309.8          -20.3
313.0          -20.5
329.4          -32.3
334.9          -29.3
312.3          -15.7
269.8            5.9
318.2          -24.9
  0.4          -40.0
309.0          -15.2
310.4          -21.6
348.0          -43.3
291.9           41.0
272.2           51.4
273.0           43.9
338.2          -25.1
318.5           -4.7
298.2           19.2

