t1 t2 t3 p1 p2 p3 p4 p5 p6 p7 p8 Yield
0 1 0   1 0 0 0 0 0 0 0    5.73
0 0 1   1 0 0 0 0 0 0 0    6.08
0 0 0   1 0 0 0 0 0 0 0    5.26
1 0 0   1 0 0 0 0 0 0 0    5.89
0 0 0   0 1 0 0 0 0 0 0    5.37
0 1 0   0 1 0 0 0 0 0 0    5.95
0 0 1   0 1 0 0 0 0 0 0    5.95
1 0 0   0 1 0 0 0 0 0 0    5.59
0 0 0   0 0 1 0 0 0 0 0    5.16
1 0 0   0 0 1 0 0 0 0 0    5.89
0 1 0   0 0 1 0 0 0 0 0    6.14
0 0 1   0 0 1 0 0 0 0 0    6.01
0 1 0   0 0 0 1 0 0 0 0    5.63
1 0 0   0 0 0 1 0 0 0 0    5.39
0 0 1   0 0 0 1 0 0 0 0    5.46
0 0 0   0 0 0 1 0 0 0 0    5.05
0 0 1   0 0 0 0 1 0 0 0    5.76
0 0 0   0 0 0 0 1 0 0 0    5.23
0 1 0   0 0 0 0 1 0 0 0    6.20
1 0 0   0 0 0 0 1 0 0 0    6.26
0 1 0   0 0 0 0 0 1 0 0    6.48
0 0 0   0 0 0 0 0 1 0 0    5.79
1 0 0   0 0 0 0 0 1 0 0    6.45
0 0 1   0 0 0 0 0 1 0 0    6.44
1 0 0   0 0 0 0 0 0 1 0    6.31
0 0 1   0 0 0 0 0 0 1 0    6.18
0 1 0   0 0 0 0 0 0 1 0    6.43
0 0 0   0 0 0 0 0 0 1 0    5.82
0 1 0   0 0 0 0 0 0 0 1    6.47
0 0 0   0 0 0 0 0 0 0 1    5.73
0 0 1   0 0 0 0 0 0 0 1    6.54
1 0 0   0 0 0 0 0 0 0 1    5.99
0 1 0   0 0 0 0 0 0 0 0    5.76
1 0 0   0 0 0 0 0 0 0 0    5.04
0 0 0   0 0 0 0 0 0 0 0    4.38
0 0 1   0 0 0 0 0 0 0 0    5.06
