 C08  C09  C10  C11  C12  C13  C14  C15  C16  C17  C18  C19  C20  C21
  93  109  114  121  101  109  112  107   97  117   89  132  121  124
 116  116  111  135  107  115  114  106   92   98  116  105  135   93
 125  166  180  137  142  114  119  121   95  105  152  154  102  110
 144  157  161  173  158  138  148  147  133  124  122  133  122  130
 105  134  128  119  136  126  125  125  103   91   98  112  133  124
 109  121  100   83   87  110  109  100   93   80   98  100  104   97
  89  109  107   95  101   96   88   83   85   91   95  109  116   86
 116  138  138  128  102  116  122  100  123  107  117  120  119   99
 151  165  156  149  136  142  141  128  130  126  154  148  138  127
 137  155  145  139  150  141  125  109  118  109  112  102  107  107
