Density smack.lat smack.long smack.depth Temperature D200
0 44.57 4.65 4342 8.23 -92.5
0 44.57 4.48 4334 9.68 -86.1
0 44.57 4.3 4286 10.9 -78.3
18.26 44.02 2.87 1438 19.33 -50.6
90.16 44.02 2.07 166 8.78 2.2
62.93 44.02 2.13 460 9.42 -3.5
0 44.02 2.27 810 10.53 -7.3
23 44.02 2.35 887 11 -15.3
0 44.02 2.42 946 11.42 -20.1
0 44.02 2.48 1012 12 -23.9
0 44.12 2.48 1011 13.27 -27.8
0 44.12 2.33 969 14.67 -27.2
0 44.12 2.27 929 15.18 -18.2
36.35 44.12 2.2 847 15.75 -14.2
0 44.12 2.13 704 16.27 -10.2
19.3 44.12 2.07 266 16.9 -6.2
58.71 44.37 2.07 181 5.67 -2.3
19.16 44.37 2.13 467 6.25 2.8
0 44.37 2.2 696 7.17 6.8
0 44.37 2.35 1012 8.08 9.8
0 44.62 2.35 1335 10.83 14.5
0 44.62 2.27 922 16.42 17.4
0 44.62 2.18 606 17.17 22.3
0 44.62 2.13 539 17.68 27.2
42.46 44.62 2.07 883 18.33 5
21.26 44.87 2.07 135 8.58 8.9
0 44.88 2.13 147 9.25 13.7
0 44.87 2.2 268 9.75 16.6
19.81 44.87 2.27 783 10.25 21.5
0 44.87 2.35 1892 10.75 25.4
0 44.87 2.42 2034 11.58 27.6
0 44.87 2.48 2580 12.08 24.6
0 44.87 2.55 2709 12.58 19.7
0 44.87 2.62 2681 13.33 15.7
0 44.87 2.7 2879 13.92 10.8
0 44.87 2.77 2852 14.4 6.9
0 44.87 2.83 3158 14.95 4.2
0 44.87 2.9 2943 15.6 -2.6
0 44.87 2.97 3097 16.1 -5.9
0 44.98 3.12 2249 17.75 -9.7
0 45.12 3.27 1202 19 -18.6
0 45.12 3.2 964 23.62 -18.4
0 45.12 3.13 161 0.25 -14.8
0 45.12 3.05 1039 0.78 -10.3
21.96 45.12 2.98 242 1.28 -7.4
41.69 45.12 2.92 1159 1.83 -3.7
0 45.12 2.85 155 2.33 2.5
93.63 45.12 2.77 156 3.08 6
0 45.12 2.7 306 3.62 9.9
22.3 45.12 2.63 126 4.12 13.9
0 45.12 2.55 127 4.68 17.9
0 45.12 2.48 125 5.2 21.9
0 45.12 2.42 126 5.72 26.8
0 45.12 2.35 120 9.08 27.3
0 45.12 2.27 120 9.42 23.4
22.12 45.12 2.2 116 10.22 18.7
0 45.12 2.13 111 10.67 14.9
