  Concentr Trouts  Dead    Insert
    90      111     8       hard
    90      97      10      hard
    90      108     10      hard
    90      122     9       hard
    180     68      4       hard
    180     109     6       hard
    180     109     11      hard
    180     118     6       hard
    360     98      6       hard
    360     110     5       hard
    360     129     9       hard
    360     103     17      hard
    720     83      2       hard
    720     87      3       hard
    720     118     16      hard
    720     100     9       hard
    1440    140     60      hard
    1440    114     47      hard
    1440    103     49      hard
    1440    110     20      hard
    2880    143     79      hard
    2880    131     85      hard
    2880    111     78      hard
    2880    111     74      hard
    90      130     7       no.hard
    90      179     25      no.hard
    90      126     5       no.hard
    90      129     3       no.hard
    180     114     12      no.hard
    180     149     4       no.hard
    180     121     4       no.hard
    180     105     0       no.hard
    360     102     4       no.hard
    360     145     21      no.hard
    360     61      1       no.hard
    360     118     3       no.hard
    720     99      29      no.hard
    720     109     53      no.hard
    720     99      40      no.hard
    720     70      0       no.hard
    1440    100     14      no.hard
    1440    127     10      no.hard
    1440    132     8       no.hard
    1440    113     3       no.hard
    2880    145     113     no.hard
    2880    103     84      no.hard
    2880    143     105     no.hard
    2880    102     78      no.hard



