Density Yield Locality
23.48 223.02 1
26.22 234.24 1
27.79 221.68 1
32.88 221.94 1
33.27 197.45 1
36.79 189.64 1
37.58 211.2  1
37.58 191.36 1
41.49 156.62 1
42.66 168.12 1
44.23 197.89 1
44.23 154.14 1
51.67 153.26 1
55.58 142.79 1
55.58 126.17 1
57.93 167.95 1
58.71 144.54 1
59.5  151.3  1
60.67 130.52 1
62.63 125.3  1
67.71 114.05 1
70.06 116.31 1
70.45 120.71 1
73.98 134.16 1
73.98 114.48 1
78.67  91.17 1
95.9  101.27 1
96.68  97.33 1
96.68 101.37 1
101.38 97.2  1
103.72 87.12 1
104.51 81.71 1
105.68 76.44 1
108.03 87.1  1
117.82 84.54 1
127.21 69.09 1
134.26 64.4  1
137.39 66.81 1
151.87 63.01 1
163.61 55.45 1
166.35 62.54 1
184.75 54.68 1
18.78 272.15 2
21.25 235.23 2
23.23 180.47 2
27.18 177.31 2
30.15 141.28 2
31.63 169.39 2
32.12 138.17 2
32.62 171.81 2
32.62 112.02 2
33.61 156.09 2
37.07 137.29 2
38.55 154.1  2
39.54 124.17 2
39.54 146.28 2
41.02 105.47 2
42.5  139.24 2
43.98 148.31 2
45.47 110.44 2
49.92  90.72 2
50.9  102.61 2
53.87 107.36 2
57.82  92.66 2
61.78  96.52 2
61.78  94.71 2
63.75  99.86 2
67.71  93.37 2
71.66  89.78 2
77.59  69.34 2
80.56  73.74 2
86.49  75.17 2
88.46  72.98 2
89.45  79.94 2
90.93  79.13 2
92.91  70.93 2
101.81 60.99 2
103.78 74.09 2
115.15 49.45 2
123.06 56.65 2
144.31 47.84 2
155.68 40.03 2
158.15 38.7  2
180.39 28.96 2
