Yr Period Power Span Length Weight Speed Range
14 1 82 12.8 7.6 1070 105 400
14 1 82 11 9 830 145 402
14 1 223.6 17.9 10.35 2200 135 500
15 1 164 14.5 9.8 1946 138 500
15 1 119 12.9 7.9 1190 140 400
15 1 74.5 7.5 6.3 653 177 350
15 1 74.5 11.13 8.28 930 113 402
16 1 279.5 14.3 9.4 1575 230 700
16 1 82 7.8 6.7 676 175 525
16 1 67 11 8.3 920 106 300
16 1 112 11.7 8 1353 140 560
16 1 149 12.8 8.7 1550 170 550
16 1 119 8.5 7.4 888 175 250
16 1 119 13.3 9.6 1275 157 450
16 1 238.5 14.9 8.9 1537 183 700
16 1 205 12 7.9 1292 201 600
16 1 82 9.4 6.2 611 209 175
16 1 119 15.95 10.25 1350 145 450
16 1 194 16.74 10.77 1700 120 450
17 1 336 22.2 10.9 3312 135 450
17 1 558.9 23.4 12.6 4920 152 600
17 1 287 14.3 9.4 1510 176 800
17 1 388 23.72 11.86 3625 140 500
17 1 164 11.9 9.8 900 190 600
17 1 194 14.4 9.2 1665 175 600
17 1 194 14.4 8.9 1640 175 600
17 1 186.3 9.7 8 1081 205 600
17 1 119 8 6.5 625 196 400
17 1 119 9.4 6.95 932 165 250
17 1 89.4 14.55 9.83 1378 146 400
17 1 126.7 9.1 7.3 886 175 350
17 1 149 8.11 6.38 902 222 547
17 1 119 9.5 8.5 1070 159 450
17 1 536.6 20.73 13.27 5670 166 1770
18 1 402 22.8 13.5 3636 158 800
18 1 298 38.4 20.85 12925 146 2365
18 1 298 14 9.2 2107 185 925
18 1 342.8 26.5 14.33 4770 120 400
18 1 536 30.48 19.16 6060 157 1205
18 1 223.6 9.7 6.5 1192 226 580
18 1 521.6 15.5 9.7 1900 205 600
18 1 186.3 9.1 8.1 1050 230 600
19 1 238.5 14.17 9.68 2155 161 684
19 1 287 10.1 7.7 1379 251 402
20 1 335.3 14.8 10.8 2858 171 563
20 1 335.3 15.62 11.89 3380 206 644
20 1 335.3 14.05 10.97 2290 171 885
20 1 335.3 14.05 11.28 2290 171 885
21 1 335.3 14.8 9.5 2347 235 800
21 1 335.3 15.24 11.42 3308 161 440
21 1 357.7 14 11 2630 145 557
22 1 313 12.24 7.3 1333 245 750
22 1 782.6 27.2 18.2 10000 183 3600
22 1 298 8.84 7.01 1351 214 500
22 1 670.6 22.86 18.08 6250 180 805
22 1 223.5 7.7 6.8 885 220 330
23 1 335.3 9.5 6.8 1531 237 600
23 1 391 9.8 7.1 1438 254 628
23 1 391 15.93 11.5 3820 169 1640
23 1 436 15.93 11.5 3820 169 1640
23 1 391 15.93 11.5 3820 169 1640
23 1 436 15.93 11.5 3820 169 1640
23 1 171.4 13.08 9.27 1905 153 604
23 1 350 15.21 9.78 2646 183 1046
23 1 298 8.94 6.17 1151 261 644
24 1 223.6 9.6 6.4 1266 245 500
24 1 298 10.8 7.32 1575 235 600
24 1 634 13.72 10.74 2383 200 1046
24 1 223.5 8.9 6.9 860 246 550
24 1 864.4 26.72 18.97 7983 174 1585
25 1 760 25 15.1 6200 180 650
25 1 503.5 9.6 7.06 1484 319 917
25 1 63.3 8.84 7.17 567 146 515
25 1 357.7 11.58 9.5 1867 251 805
25 1 812 17.3 10.55 4350 230 750
25 1 335.3 12.5 8.38 1935 290 1110
25 1 298 12.1 8.7 1823 230 772
26 1 298 12.09 8.81 2253 233 1127
26 1 335.3 9.8 6.7 1487 250 500
26 1 298 15.3 9.42 2220 255 850
26 1 317 9.08 5.99 1244 233 523
26 1 231 17.75 10.27 2700 175 850
26 1 335.3 15.3 10.22 2280 230 900
26 1 432 15.15 11 3652 180 700
26 1 918 27.4 19.8 8165 145 668
26 1 745.2 22 14.63 5500 185 700
26 1 424.8 13.7 11.2 3568 196 1706
27 1 372.6 10.3 6.56 1414 298 600
27 1 782 22.76 14.88 5875 183 1385
27 1 626 22.25 13.81 5460 198 1000
27 1 544 17.25 12.6 4310 195 902
27 1 335.3 11 7 1500 300 600
27 1 372.6 12 7.5 1795 270 500
27 1 373 9.5 7.2 1628 297 450
27 1 391.2 14.15 9.91 2449 225 579
28 1 864 20.4 14.8 6900 212 1125
28 1 894 20.4 15 6900 195 1300
28 1 179 14.5 9.8 1900 197 660
28 1 74.5 8.84 7.17 567 146 515
28 1 391.2 11.35 8.94 2102 296 756
28 1 372.5 15.3 10 2710 235 1200
28 1 313 12.2 7.55 1376 237 500
28 1 507 15.5 10.56 3247 228 1100
28 1 74.5 11.4 8.1 1016 170 430
28 1 317 10.1 7.6 1515 251 547
28 1 410 9.1 6.1 1638 303 595
28 1 335 12.4 8.2 1927 230 800
29 1 67 9.1 7.1 710 175 547
29 1 97 12.2 7.5 1025 209 1050
29 1 89.4 11.2 7.62 930 177 483
29 1 410 12.24 7.64 1580 270 750
29 1 447 8.5 7.2 1340 376 580
29 1 164 13.5 10.2 2758 206 1046
29 1 89.4 8.5 7.4 726 145 579
29 1 179 10.4 8.1 1115 196 500
29 1 1066 23.2 15.06 6470 230 800
29 1 1014 28.7 18 6810 207 1000
30 1 820 22.6 15.7 6193 304 1207
30 1 391 13.94 11.19 2674 233 965
30 1 1654.4 39.62 27.36 13381 204 805
30 1 447 16.5 11.68 3950 170 650
30 1 723 19.7 15.3 5350 280 2000
30 1 358 10.02 6.78 1355 278 725
30 1 361.4 10.3 7.16 1355 317 560
31 1 89.4 9.8 7.4 839 153 515
31 1 313 7.77 6.12 1256 285 590
31 1 97 8.94 7.29 803 175 483
31 1 372 11.2 8.4 1930 300 450
31 1 559 10.52 7.47 2177 340 1261
31 1 559 11.5 10.6 2745 290 1200
31 1 484.4 14 9.5 2300 260 1050
31 1 480.7 10.72 7.55 1630 390 700
32 1 503 19.8 13 4377 265 1770
32 1 104.5 9.41 7.85 952 177 906
32 1 194 14.43 10.52 1905 175 740
32 1 194 14.43 10.52 1905 175 740
32 1 514 12.09 7.74 1710 359 850
32 1 2742.4 36 21.57 18700 325 1200
32 1 447 10.5 7.83 1895 350 850
32 1 507 19 13.5 4300 220 1500
32 1 399 11.35 9.02 2023 272 845
32 1 391 11.35 8.99 2023 293 604
32 1 469.5 14.8 12 3460 360 1400
32 1 1855.5 29.25 18.9 11030 286 1300
32 1 387.5 13.71 10.36 2640 280 700
32 1 1013.2 27.4 21.8 9526 251 1030
32 1 1341.4 21.39 13.47 6983 418 3347
32 1 313 9.8 8 2132 319 805
32 1 372.6 10.56 7.24 1581 328 950
32 1 1014 41.8 25.2 18786 288 960
33 1 715 8.8 7.5 1680 372 800
33 1 425 24.99 14.78 7258 177 8047
33 1 447 9.5 7.46 1865 375 750
33 1 179 10.5 7.65 996 278 460
33 1 1296 22.5 15.8 7280 230 1000
33 1 533.4 11 9.5 2020 335 483
33 1 559 11 8.4 1900 330 390
33 1 2013 35.1 18.9 16500 255 2100
33 1 615 14.54 9.87 3400 354 1175
33 1 820 9 6.1 1912 500 400
33 1 1028 22.1 16.2 5908 310 1250
33 1 671 10.68 7.6 2000 430 700
33 1 633 9.4 8.2 1980 394 600
33 1 1118 24.36 16.31 7700 236 3500
33 1 641 15.4 10 2560 340 1000
33 1 577.5 13.97 11.45 3259 217 966
33 1 603.6 14.94 11.48 3856 251 1006
33 1 476 17.2 12.9 3476 272 1062
