Comp.1 Comp.2 Year Period
-3.413 -1.349 14 1
-3.32 -0.874 14 1
-2.1 -1.475 14 1
-2.435 -1.217 15 1
-3.093 -1.002 15 1
-4.023 -0.042 15 1
-3.486 -1.142 15 1
-1.999 -0.574 16 1
-3.698 -0.15 16 1
-3.705 -1.187 16 1
-2.959 -0.927 16 1
-2.604 -0.814 16 1
-3.71 -0.164 16 1
-2.761 -1.003 16 1
-2.176 -0.878 16 1
-2.589 -0.469 16 1
-4.134 -0.059 16 1
-2.58 -1.343 16 1
-2.357 -1.545 16 1
-1.675 -1.69 17 1
-1.015 -1.628 17 1
-2.06 -0.87 17 1
-1.405 -1.753 17 1
-2.626 -0.636 17 1
-2.303 -0.916 17 1
-2.338 -0.904 17 1
-2.823 -0.199 17 1
-3.709 0.041 17 1
-3.698 -0.331 17 1
-2.821 -1.241 17 1
-3.482 -0.267 17 1
-3.303 0.171 17 1
-3.182 -0.518 17 1
-0.437 -1.511 17 1
-1.017 -1.661 18 1
0.641 -2.731 18 1
-1.869 -0.791 18 1
-1.274 -2.132 18 1
-0.013 -2.161 18 1
-2.891 0.019 18 1
-1.787 -0.693 18 1
-2.819 0.001 18 1
-2.088 -0.985 19 1
-2.721 0.092 19 1
-1.826 -0.942 20 1
-1.487 -0.86 20 1
-1.703 -0.924 20 1
-1.679 -0.935 20 1
-1.69 -0.583 21 1
-1.853 -1.043 21 1
-1.943 -1.044 21 1
-2.305 -0.2 22 1
0.767 -1.876 22 1
-2.864 0.11 22 1
-0.347 -1.553 22 1
-3.43 0.319 22 1
-2.618 0.142 23 1
-2.479 0.183 23 1
-1.031 -1.149 23 1
-0.999 -1.13 23 1
-1.031 -1.149 23 1
-0.999 -1.13 23 1
-2.416 -0.965 23 1
-1.565 -0.917 23 1
-2.809 0.335 23 1
-2.93 0.138 24 1
-2.484 -0.077 24 1
-1.381 -0.626 24 1
-3.009 0.203 24 1
0.303 -1.828 24 1
-0.512 -1.556 25 1
-2.119 0.463 25 1
-3.774 -0.569 25 1
-1.906 -0.191 25 1
-1.035 -0.691 25 1
-1.739 -0.126 25 1
-2.074 -0.334 25 1
-1.792 -0.361 26 1
-2.686 0.184 26 1
-1.659 -0.559 26 1
-2.933 0.234 26 1
-1.646 -1.229 26 1
-1.56 -0.687 26 1
-1.496 -0.903 26 1
-0.131 -1.98 26 1
-0.637 -1.363 26 1
-1.082 -0.779 26 1
-2.482 0.319 27 1
-0.219 -1.481 27 1
-0.524 -1.345 27 1
-0.984 -1.018 27 1
-2.382 0.2 27 1
-2.298 -0.015 27 1
-2.557 0.408 27 1
-1.808 -0.533 27 1
-0.258 -1.147 28 1
-0.201 -1.25 28 1
-2.117 -0.845 28 1
-3.726 -0.542 28 1
-1.863 0.055 28 1
-1.332 -0.666 28 1
-2.485 -0.206 28 1
-1.174 -0.677 28 1
-3.237 -0.732 28 1
-2.514 0.084 28 1
-2.556 0.537 28 1
-2.036 -0.326 28 1
-3.551 -0.405 29 1
-2.629 -0.606 29 1
-3.205 -0.622 29 1
-2.079 -0.068 29 1
-2.423 0.81 29 1
-1.776 -0.783 29 1
-3.529 -0.494 29 1
-2.872 -0.33 29 1
-0.24 -1.16 29 1
0.148 -1.639 29 1
0.016 -0.925 30 1
-1.407 -0.572 30 1
1.037 -2.122 30 1
-1.402 -1.082 30 1
0.016 -0.899 30 1
-2.437 0.242 30 1
-2.435 0.354 30 1
-3.404 -0.605 31 1
-2.881 0.626 31 1
