Density Yield Locality
20.64 176.58 1
26.91 159.07 1
26.91 122.41 1
28.02 128.32 1
32.44 125.77 1
34.28 126.81 1
35.76 147.77 1
36.49 117.29 1
38.71 133.49 1
39.44 128.87 1
39.81 110.04 1
40.92 111.15 1
42.76 134.12 1
43.5   99.94 1
45.34 128.7  1
45.71 152.17 1
46.82 100.36 1
47.18 123.32 1
47.92 114.44 1
48.66 131.27 1
53.45 115.12 1
55.66  95.52 1
59.35  94.94 1
59.72 119.28 1
63.04  93.64 1
67.09  85.73 1
68.93  89.26 1
69.3   88.55 1
73.36  76.81 1
80.73  76.63 1
89.58  90.53 1
95.47  71.28 1
98.05  56.61 1
98.42  75.09 1
102.48 65.26 1
105.8  64.48 1
106.53 61.84 1
108.75 65.19 1
115.38 57.1  1
150.77 52.68 1
152.24 47.01 1
155.19 44.28 1
22.3  148.57 2
25.86 125.3  2
29.09 150.69 2
29.74 147.42 2
31.68 117.1  2
31.68 116.64 2
32    129.66 2
32.32 131.54 2
32.32 151.5  2
34.91 121.8  2
35.23 125.67 2
38.47 117.78 2
39.44 101.5  2
41.05 113.22 2
41.7  136.43 2
44.28 117.54 2
45.9   87.2  2
46.55 107.41 2
48.16 129.68 2
48.49 104.63 2
48.81 114.15 2
49.78  99.85 2
50.43 111.65 2
51.72  98.09 2
61.42  87.85 2
65.29  75.45 2
67.23  87.01 2
71.44  90.1  2
73.05  81.08 2
86.63  65.33 2
96     58.49 2
98.91  65.67 2
103.44 67.19 2
105.05 54.01 2
111.19 60.92 2
113.78 53.48 2
119.92 61.62 2
120.89 26.32 2
126.71 61.21 2
138.99 41.67 2
146.75 45.26 2
160.97 46.45 2
