Age  Count  Source
  0  706000 1
  0  722000 1
  0  694000 1
  0 1126000 1
  0  951000 1
  0  470000 1
  6  324700 2
  7  764600 2
  7  416200 2
  8  271000 2
  9  718600 2
 12  349100 2
 13  522800 2
 14  599400 2
 15   88000 2
 16  385200 2
 18  307300 2
 18  154700 2
 19  216100 2
 19  195395 3
 20   40020 2
 20   56500 2
 23  210100 2
 24  150800 2
 25   80500 2
 25   57200 2
 25  100080 3
 25  198770 3
 26  237200 2
 27   67800 2
 28   62300 2
 28   25020 2
 29   31400 2
 30   26280 2
 31   10300 2
 31   44690 2
 31   42460 2
 31   81265 3
 32  129500 2
 32   80000 2
 32   59800 2
 33   30800 2
 33   32800 2
 34   62715 3
 35  102380 3
 35   44850 3
 35   40860 3
 36  105800 2
 36   54965 3
 37  224500 2
 37   28335 3
 37   13031 3
 38   63200 2
 38   55355 3
 39   53825 3
 40    8280 2
 40   37400 2
 40   65455 3
 40   29305 3
 41    2380 2
 41   16410 3
 42    7900 2
 42   50560 3
 42    5060 3
 43    7020 2
 43   11730 2
 43   28665 3
 43    6620 3
 43    5350 3
 43     774 3
 43    1215 3
 43   62040 3
 43   34160 3
 44    1250 2
 44   12400 3
 44    1358 3
 44   18380 3
 44    2280 3
 45    7350 3
 45   13145 3
 45    3115 3
 45    6735 3
 45   43068 3
 45    3490 4
 45    4820 4
 46   12930 3
 46    1606 3
 46    6467 3
 46    5155 3
 46    7340 3
 46    7980 3
 46    8360 3
 46     692 4
 46    1272 4
 47    2693 3
 47   10495 3
 47    4835 3
 47    5695 3
 47    6776 4
 47     368 4
 48    1737 3
 48     538 3
 48     785 3
 49    1820 3
 49    2800 3
 49     316 4
 49    3132 4
 50    2678 3
 50    1110 3
 51    1744 4


