Waiting Next.waiting Duration
80 71 4.02
71 57 2.15
57 80 4
80 75 4
75 77 4
77 60 2
60 86 4.38
86 77 4.28
77 56 2.03
56 81 4.83
81 50 1.83
50 89 5.45
89 54 1.62
54 90 4.87
90 73 4.38
73 60 1.77
60 83 4.67
83 65 2
65 82 4.73
82 84 4.22
84 54 1.9
54 85 4.97
85 58 2
58 79 4
79 57 2
57 88 4
88 68 2.83
68 76 4.5
76 78 4.07
78 74 3.72
74 85 3.52
85 75 4.47
75 65 2.22
65 76 4.88
76 58 2.6
58 91 4.15
91 50 2.2
50 87 4.77
87 48 1.83
48 93 4.6
93 54 2.27
54 86 4.13
86 53 2
53 78 4
78 52 2
52 83 4
83 60 1.88
60 87 4.27
87 49 2.08
49 80 4.47
80 60 2.22
60 92 4
92 43 1.77
43 89 4.33
89 60 2.18
60 84 4.48
84 69 3.88
69 74 3.33
74 71 3.73
71 108 4
108 50 1.95
50 77 5.27
77 57 2
57 80 4
80 61 2
61 82 4
82 48 2
48 81 4
81 73 3.53
73 62 2.17
62 79 4.5
79 54 2.02
54 80 4.15
80 73 4.2
73 81 4.33
81 62 1.93
62 81 4.65
81 71 3.82
71 79 4.03
79 81 4.17
81 74 4.67
74 59 1.82
59 81 4
81 66 3
66 87 4
87 53 2
53 80 4.45
80 50 2.05
50 87 4.25
87 51 1.92
51 82 4.67
82 58 1.73
58 81 4.38
81 49 1.77
49 92 4.6
92 50 1.87
50 88 4.45
88 62 1.63
62 93 5.03
93 56 1.82
56 89 5.1
89 51 1.63
51 79 4.28
79 58 2
58 82 4
82 52 2
52 88 4.53
88 52 2
52 78 4
78 69 2.93
69 75 4.73
75 77 3.9
77 53 1.95
53 80 4.12
80 55 1.8
55 87 4.67
87 53 1.83
53 85 4.7
85 61 2.12
61 93 4.78
93 54 1.82
54 76 4.1
76 80 4.65
80 81 4
81 59 2
59 86 4
86 78 4
78 71 4.22
71 77 4.13
77 76 3.93
76 94 3.75
94 75 4.42
75 50 2.47
50 83 4.17
83 82 3.8
82 72 4.32
72 77 3.87
77 75 4.68
75 65 1.7
65 79 4.97
79 72 4.27
72 78 4.58
78 77 4
77 79 4
79 75 4
75 78 4
78 64 1.98
64 80 4.6
80 49 0.83
49 88 4.92
88 54 1.73
54 85 4.58
85 51 1.7
51 96 4.75
96 50 1.83
50 80 4.5
80 78 1.87
78 81 4.45
81 72 4.45
72 75 4
75 78 4.8
78 87 4
87 69 4
69 55 2
55 83 4
83 49 1.93
49 82 4.58
82 57 2
57 84 3.7
84 57 2.87
57 84 4.83
84 73 3.45
73 78 4.38
78 57 1.8
57 79 4.4
79 57 2.48
57 90 4.52
90 62 2.1
62 87 4.35
87 78 4.37
78 52 1.78
52 98 4.92
98 48 1.82
48 78 4
78 79 4
79 65 4
65 84 3.87
84 50 1.85
50 83 4.7
83 60 2.02
60 80 4.47
80 50 1.87
50 88 4.17
88 50 1.9
50 84 4.25
84 74 3.25
74 76 4.22
76 65 1.88
65 89 4.98
89 49 1.85
49 88 4
88 51 1.97
51 78 4.77
78 85 4
85 65 2
65 75 4
75 77 4
77 69 2.38
69 92 4.42
92 68 4.22
68 87 4.37
87 61 2
61 81 4.45
81 55 1.75
55 93 4.5
93 53 1.62
53 84 4.7
84 70 2.57
70 73 3.7
73 93 4.23
93 50 1.93
50 87 4.35
87 77 4
77 74 4
74 72 4
72 82 4.22
82 74 4
74 80 4.13
80 49 1.88
49 91 4.47
91 53 1.95
53 86 4.22
86 49 1.72
49 79 4.45
79 89 4.25
89 87 3.97
87 76 4.38
76 59 1.97
59 80 4.45
80 89 4.27
89 45 1.92
45 93 4.42
93 72 3
72 71 4
71 54 2
54 79 4
79 74 3.28
74 65 1.83
65 78 4.62
78 57 1.83
57 87 4.62
87 72 4.6
72 84 4.25
84 47 1.93
47 84 4.98
84 57 1.97
57 87 4.3
87 68 4.2
68 86 4.53
86 75 4.4
75 73 4.62
73 53 2
53 82 4
82 93 4
93 77 3.92
77 54 2
54 96 4.5
96 48 1.8
48 89 4
89 63 2.75
63 84 4.73
84 76 3.97
76 62 1.95
62 83 4.97
83 50 1.85
50 85 4.8
85 78 4
78 78 4
78 81 4
81 78 4
78 76 4
76 74 4
74 81 4
81 66 2
66 84 4
84 48 1.93
48 93 4.33
93 47 1.67
47 87 4.77
87 51 1.95
51 78 4.68
78 54 1.93
54 87 4.42
87 52 2.13
52 85 4.08
85 58 2.07
58 88 4
88 79 4
