Density mack.lat mack.long mack.depth Temperature Salinity
5.43 48.25 5.75 124 18.63 120
3.2 48.25 6.25 140 20.98 136
6.04 48.23 6.8 160 23.25 155
7.79 48.25 7.27 173 1.47 166
0.82 48.25 7.78 184 3.73 180
14.98 48.27 8.23 206 6.62 195
55.53 48.23 8.75 192 6.65 195
62.85 48.25 9.25 256 9.18 199
52.25 48.23 9.75 875 11.53 200
69.2 48.25 10.27 3000 13.85 201
47.45 48.25 10.77 2700 16.78 200
21.52 48.25 11.25 4000 19.03 200
30.86 48.23 11.73 2800 21.45 200
75.5 48.73 12.73 1600 2.72 200
29.17 48.73 12.25 1300 5.05 200
36.69 48.73 11.87 1400 7 200
151.14 48.75 11.62 2600 8.42 200
172.63 48.75 11.37 1600 9.83 200
107.87 48.73 11.12 1000 11.18 200
178.81 48.75 10.87 1100 12.6 200
133.62 48.73 10.62 1400 14.2 200
116.25 48.73 10.37 162 16.77 162
123.28 48.75 10.07 425 20.3 200
213.32 48.75 9.85 193 21.77 188
144.01 48.75 9.6 176 23.07 172
58.24 48.75 9.37 175 0.4 171
14.81 48.75 9.13 165 1.72 157
1.85 48.73 8.87 170 3.02 168
5.6 48.73 8.63 146 4.38 135
6.85 48.75 8.23 153 6.15 158
5.22 48.75 7.75 158 8.63 153
19.53 48.75 7.23 153 10.85 144
10.37 48.75 6.77 145 12.98 74
2.74 48.75 6.27 137 14.87 70
2.46 49.25 6.73 126 18.32 60
7.17 49.25 7.22 135 20.13 61
12.26 49.25 7.72 138 21.97 60
12.21 49.25 8.25 127 0 125
13.87 49.25 8.63 152 1.82 146
3.99 49.25 8.88 154 3.27 149
1.12 49.25 9.12 151 4.57 145
9.8 49.25 9.38 153 5.87 147
6.61 49.23 9.65 154 7.18 150
8.1 49.25 9.88 132 8.53 122
82.04 49.25 10.15 162 9.77 157
254.57 49.25 10.37 136 11.02 128
133.75 49.25 10.63 163 12.32 156
35.34 49.23 10.88 177 13.7 169
79.52 49.25 11.08 187 14.88 181
124.71 49.23 11.37 350 16.87 200
351.88 49.25 11.73 830 17.5 200
82.05 49.25 12.25 1100 20.42 200
123.08 49.25 12.75 1200 22.78 200
53.92 49.73 12.73 2200 2.72 200
56.16 49.73 12.25 1200 4.87 200
275.73 49.75 11.75 780 7 200
204.49 49.73 11.33 450 8.88 200
50.83 49.73 11.1 320 10.35 200
25.37 49.75 10.83 175 11.75 167
230.82 49.75 10.6 147 13.15 143
10.97 49.75 10.35 143 14.43 139
36.55 49.75 10.08 141 15.73 141
36.63 49.73 9.85 131 17.03 128
43.18 49.73 9.62 158 18.22 152
83.48 49.73 9.33 118 20.88 112
4.25 49.75 9.12 142 23.3 140
5.32 49.75 8.85 126 1.03 136
4.02 49.75 8.6 136 2.55 140
2.42 49.73 7.72 133 6.9 131
4.94 50.25 7.73 103 11.15 97
31.02 50.25 8.73 126 16.92 132
51.51 50.25 9.23 140 20 135
50.61 50.25 9.75 126 22.93 118
15.27 50.23 10.1 137 1.1 132
9.25 50.23 10.37 147 3.33 142
8.93 50.23 10.62 164 5.3 162
5.59 50.23 10.87 208 7.22 201
176.86 50.23 11.13 550 9.23 200
326.13 50.23 11.38 1100 11.45 200
253.29 50.25 11.73 1600 13.88 200
122.37 50.25 12.25 2300 16.82 200
191.62 50.23 12.75 2400 19.48 200
46.51 50.75 12.75 2300 0.37 200
89.16 50.73 12.25 2100 2.82 200
99.45 50.75 11.87 2000 4.72 200
131.17 50.73 11.6 1800 6.1 200
202.89 50.75 11.37 1300 7.5 200
62.67 50.73 11.12 330 8.92 200
32.44 50.73 10.85 181 10.67 175
24.85 50.73 10.55 166 12.08 160
10.65 50.75 10.23 140 14.53 133
1.19 50.75 9.72 123 16.8 118
20.62 50.73 9.23 130 18.55 124
18.96 50.73 8.73 105 20.47 96
0.85 51.25 8.25 101 1.9 96
1.88 51.23 8.75 105 3.75 99
0.8 51.25 9.25 110 5.7 107
1.75 51.25 9.75 108 7.73 102
5.58 51.23 10.25 136 9.72 130
11.41 51.23 10.63 165 11.37 160
17.91 51.25 10.88 178 4.55 172
58.98 51.23 11.3 211 6.35 200
128.27 51.23 11.65 610 8.05 200
306.81 51.25 11.88 1100 9.35 200
150.92 51.25 12.12 1200 10.72 200
137.45 51.25 12.38 1300 12.17 200
214.4 51.23 12.75 1500 13.88 200
13.29 51.75 14.73 470 15.07 200
22.19 51.73 14.35 375 19.52 200
29.5 51.73 14.08 380 20.92 200
59.55 51.75 13.85 450 22.32 200
82.04 51.73 13.62 590 23.63 200
43.92 51.73 13.37 790 1.03 200
226.99 51.73 13.12 1000 2.45 200
288.36 51.73 12.88 1200 3.87 200
301.44 51.75 12.62 1300 5.27 201
132.6 51.75 12.38 1300 6.63 200
202.84 51.73 12.12 1000 8.03 200
143.54 51.75 11.88 710 9.45 200
76.81 51.73 11.62 350 10.88 200
49.1 51.73 11.35 210 12.4 200
16.32 51.75 11.1 183 13.85 178
31.82 51.75 10.73 133 15.77 135
0.56 51.23 8.23 101 5.23 95
2.67 51.25 9.73 102 13.1 95
18 51.25 10.23 133 16.03 125
19.51 51.25 10.72 171 18.63 166
8.45 51.23 11.22 203 21.63 183
219.77 51.25 11.72 1161 0.33 183
601.78 51.25 12.18 1645 3.17 183
140.85 51.23 12.7 1885 5.75 183
151.25 51.73 14.7 481 13.92 183
156.6 51.75 14.28 377 17.13 183
96 51.73 13.78 509 19.6 183
348.08 51.73 13.28 912 22.42 183
164.13 51.73 12.78 1085 0.9 183
281.81 51.75 12.28 996 3.52 183
164.93 51.73 11.77 523 5.8 183
13.6 51.73 11.28 195 8.57 183
10.38 51.75 10.78 138 11.6 138
0.79 51.75 10.3 68 14.15 58
2.28 52.23 10.7 117 17.78 93
1.63 52.25 11.2 139 19.98 129
36.56 52.23 11.7 306 22.33 183
165.28 52.25 12.23 749 1.12 183
93.67 52.25 12.72 689 3.27 183
173.42 52.25 13.2 572 5.68 183
79.42 52.23 13.7 387 8.05 183
35.91 52.23 14.2 334 10.77 183
131.4 52.25 14.68 436 12.93 183
365.88 52.73 14.78 559 16.88 183
20.7 52.75 14.28 332 19.28 183
203.39 52.75 13.78 234 21.65 183
75.11 52.73 13.28 347 23.97 183
109.68 52.73 12.8 487 2.6 183
52.99 52.75 12.28 337 5.13 183
0.9 52.75 11.78 168 7.52 165
2.92 52.73 11.27 130 9.85 130
0.97 53.22 11.25 143 13.35 129
