WellName,Constituent,SampleDate,Result,Units,Flags
SGS5 P1,Nitrate,40122,54.59,mg/l,E-acc
SGS5 P2,Nitrate,40122,67.93,mg/l,
SGS5 P1,Sulphate,40122,99,mg/l,E-acc
SGS5 P2,Sulphate,40122,61,mg/l,
GDBH102,Ethylbenzene,40120,ND<1,ug/l,
GDBH104,Ethylbenzene,40120,ND<1,ug/l,
GDBH104,Toluene,40120,ND<1,ug/l,
GDBH104,TPH,40120,36,ug/l,
MW10,Ethylbenzene,40120,ND<1,ug/l,
MW10,Toluene,40120,ND<1,ug/l,
MW10,TPH,40120,ND<5,ug/l,
MW103,Ethylbenzene,40120,9,ug/l,
MW103,Toluene,40120,6,ug/l,
MW103,TPH,40120,162,ug/l,
MW6,Ethylbenzene,40120,ND<1,ug/l,
MW6,Toluene,40120,ND<1,ug/l,
MW6,TPH,40120,ND<5,ug/l,
SGS4 P1,Ethylbenzene,40120,ND<1,ug/l,
SGS4 P1,Toluene,40120,ND<1,ug/l,
SGS4 P1,TPH,40120,ND<5,ug/l,
SGS4 P3,Ethylbenzene,40120,ND<1,ug/l,
SGS4 P3,Toluene,40120,ND<1,ug/l,
SGS4 P3,TPH,40120,6,ug/l,
SGS3 P1,Nitrate,40119,57.12,mg/L,
SGS3 P2,Nitrate,40119,62.21,mg/l,
SGS3 P3,Nitrate,40119,65.18,mg/l,
SGS4 P1,Nitrate,40119,88.6,mg/l,
SGS4 P3,Nitrate,40119,3.55,mg/l,
MW102,Toluene,40119,ND<1,ug/l,
MW102,TPH,40119,ND<5,ug/l,
MW7,Toluene,40119,ND<1,ug/l,
MW7,TPH,40119,ND<5,ug/l,
SGS3 P1,Toluene,40119,ND<1,ug/l,
SGS3 P1,TPH,40119,ND<5,ug/l,
SGS3 P2,Toluene,40119,ND<1,ug/l,
SGS3 P2,TPH,40119,ND<5,ug/l,
SGS3 P3,Toluene,40119,ND<1,ug/l,
SGS3 P3,TPH,40119,ND<5,ug/l,
SGS3P2 ,Toluene,40119,ND<1,ug/l,
