WellName,Constituent,SampleDate,Result,Units,Flags
MW-01,BENZENE,37560,78,ug/l,
MW-01,GW,37560,92.23,Level,
MW-01,TOLUENE,37560,470,ug/l,
MW-01,XYLENE,37560,430,ug/l,
MW-02,BENZENE,37560,40000,ug/l,
MW-02,GW,37560,92.3,Level,
MW-02,TOLUENE,37560,1200,ug/l,
MW-02,XYLENE,37560,1100,ug/l,
MW-03,BENZENE,37560,ND<10,ug/l,
MW-03,GW,37560,94.43,Level,
MW-03,TOLUENE,37560,1.1,ug/l,
MW-03,XYLENE,37560,ND<0.50,ug/l,
MW-04,BENZENE,37560,250,ug/l,
MW-04,GW,37560,93.77,Level,
MW-04,TOLUENE,37560,410,ug/l,
MW-04,XYLENE,37560,5.5,ug/l,
MW-01,BENZENE,37656,900,ug/l,
MW-01,TOLUENE,37656,72,ug/l,
MW-01,XYLENE,37656,7.6,ug/l,
MW-02,BENZENE,37656,92000,ug/l,
MW-02,TOLUENE,37656,1200,ug/l,
MW-02,XYLENE,37656,970,ug/l,
MW-03,BENZENE,37656,ND<10,ug/l,
MW-03,TOLUENE,37656,ND<1.0,ug/l,
MW-03,XYLENE,37656,ND<0.50,ug/l,
MW-04,BENZENE,37656,810,ug/l,
MW-04,TOLUENE,37656,650,ug/l,
MW-04,XYLENE,37656,ND<2.5,ug/l,
MW-01,BENZENE,37770,2700,ug/l,
MW-01,GW,37770,92.38,Level,
MW-01,TOLUENE,37770,52,ug/l,
MW-01,XYLENE,37770,4.5,ug/l,
MW-02,BENZENE,37770,65000,ug/l,
MW-02,GW,37770,92.39,Level,
MW-02,TOLUENE,37770,710,ug/l,
MW-02,XYLENE,37770,420,ug/l,
MW-03,BENZENE,37770,ND<10,ug/l,
MW-03,GW,37770,95.06,Level,
MW-03,TOLUENE,37770,ND<1.0,ug/l,
MW-03,XYLENE,37770,ND<0.50,ug/l,
MW-04,BENZENE,37770,1300,ug/l,
MW-04,GW,37770,93.83,Level,
MW-04,TOLUENE,37770,900,ug/l,
MW-04,XYLENE,37770,2.5,ug/l,
MW-05,BENZENE,37770,ND<10,ug/l,
MW-05,GW,37770,96.22,Level,
MW-05,TOLUENE,37770,2,ug/l,
MW-05,XYLENE,37770,ND<0.50,ug/l,
MW-06,BENZENE,37770,42000,ug/l,
MW-06,GW,37770,92.44,Level,
MW-06,TOLUENE,37770,24,ug/l,
MW-06,XYLENE,37770,ND<2.5,ug/l,
MW-07,BENZENE,37770,590,ug/l,
MW-07,GW,37770,92.46,Level,
MW-07,TOLUENE,37770,1600,ug/l,
MW-07,XYLENE,37770,ND<5.0,ug/l,
MW-08,BENZENE,37770,41000,ug/l,
MW-08,GW,37770,93.55,Level,
MW-08,TOLUENE,37770,1500,ug/l,
MW-08,XYLENE,37770,ND<2.5,ug/l,
MW-01,BENZENE,37866,1700,ug/l,
MW-01,TOLUENE,37866,33,ug/l,
MW-01,XYLENE,37866,9.2,ug/l,
MW-10,BENZENE,37866,960,ug/l,
MW-10,TOLUENE,37866,60,ug/l,
MW-10,XYLENE,37866,ND<0.50,ug/l,
MW-11,BENZENE,37866,38,ug/l,
MW-11,TOLUENE,37866,47,ug/l,
MW-11,XYLENE,37866,ND<0.50,ug/l,
MW-02,BENZENE,37866,71000,ug/l,
MW-02,TOLUENE,37866,210,ug/l,
MW-02,XYLENE,37866,470,ug/l,
MW-03,BENZENE,37866,ND<10,ug/l,
MW-03,TOLUENE,37866,ND<1.0,ug/l,
MW-03,XYLENE,37866,ND<0.50,ug/l,
MW-04,BENZENE,37866,1100,ug/l,
MW-04,TOLUENE,37866,710,ug/l,
MW-04,XYLENE,37866,ND<2.5,ug/l,
MW-05,BENZENE,37866,ND<10,ug/l,
MW-05,TOLUENE,37866,1.5,ug/l,
MW-05,XYLENE,37866,ND<0.50,ug/l,
MW-06,BENZENE,37866,28000,ug/l,
MW-06,TOLUENE,37866,ND<100,ug/l,
MW-06,XYLENE,37866,ND<50,ug/l,
MW-07,BENZENE,37866,2100,ug/l,
MW-07,TOLUENE,37866,2300,ug/l,
MW-07,XYLENE,37866,ND<5.0,ug/l,
MW-08,BENZENE,37866,9600,ug/l,
MW-08,TOLUENE,37866,83,ug/l,
MW-08,XYLENE,37866,ND<13,ug/l,
MW-09,BENZENE,37866,770,ug/l,
MW-09,TOLUENE,37866,6.7,ug/l,
MW-09,XYLENE,37866,ND<0.50,ug/l,
MW-01,BENZENE,37929,2300,ug/l,
MW-01,TOLUENE,37929,89,ug/l,
MW-01,XYLENE,37929,56,ug/l,
MW-10,BENZENE,37929,17,ug/l,
MW-10,TOLUENE,37929,21,ug/l,
MW-10,XYLENE,37929,ND<0.50,ug/l,
MW-11,BENZENE,37929,300,ug/l,
MW-11,TOLUENE,37929,51,ug/l,
MW-11,XYLENE,37929,ND<0.50,ug/l,
MW-02,BENZENE,37929,43000,ug/l,
MW-02,TOLUENE,37929,180,ug/l,
MW-02,XYLENE,37929,120,ug/l,
MW-03,BENZENE,37929,ND<10,ug/l,
MW-03,TOLUENE,37929,ND<1.0,ug/l,
MW-03,XYLENE,37929,ND<0.50,ug/l,
MW-04,BENZENE,37929,2100,ug/l,
MW-04,TOLUENE,37929,1100,ug/l,
MW-04,XYLENE,37929,ND<2.5,ug/l,
MW-05,BENZENE,37929,ND<10,ug/l,
MW-05,TOLUENE,37929,ND<1.0,ug/l,
MW-05,XYLENE,37929,ND<0.50,ug/l,
MW-06,BENZENE,37929,3100,ug/l,
MW-06,TOLUENE,37929,210,ug/l,
MW-06,XYLENE,37929,ND<2.5,ug/l,
MW-07,BENZENE,37929,2700,ug/l,
MW-07,TOLUENE,37929,2800,ug/l,
MW-07,XYLENE,37929,ND<10,ug/l,
MW-08,BENZENE,37929,2400,ug/l,
MW-08,TOLUENE,37929,350,ug/l,
MW-08,XYLENE,37929,ND<2.5,ug/l,
MW-09,BENZENE,37929,ND<10,ug/l,
MW-09,TOLUENE,37929,ND<1.0,ug/l,
MW-09,XYLENE,37929,ND<0.50,ug/l,
MW-01,BENZENE,38028,1400,ug/l,
MW-01,GW,38028,91.23,Level,
MW-01,TOLUENE,38028,250,ug/l,
MW-01,XYLENE,38028,96,ug/l,
MW-10,BENZENE,38028,1300,ug/l,
MW-10,GW,38028,90.98,Level,
MW-10,TOLUENE,38028,19,ug/l,
MW-10,XYLENE,38028,ND<0.50,ug/l,
MW-11,BENZENE,38028,110,ug/l,
MW-11,GW,38028,91.37,Level,
MW-11,TOLUENE,38028,38,ug/l,
MW-11,XYLENE,38028,ND<0.50,ug/l,
MW-02,BENZENE,38028,42000,ug/l,
MW-02,GW,38028,92.23,Level,
MW-02,TOLUENE,38028,340,ug/l,
MW-02,XYLENE,38028,360,ug/l,
MW-03,BENZENE,38028,ND<10,ug/l,
MW-03,GW,38028,94.93,Level,
MW-03,TOLUENE,38028,ND<1.0,ug/l,
MW-03,XYLENE,38028,ND<0.50,ug/l,
MW-04,BENZENE,38028,970,ug/l,
MW-04,GW,38028,93.78,Level,
MW-04,TOLUENE,38028,640,ug/l,
MW-04,XYLENE,38028,ND<5.0,ug/l,
MW-05,BENZENE,38028,ND<10,ug/l,
MW-05,GW,38028,96.12,Level,
MW-05,TOLUENE,38028,ND<1.0,ug/l,
MW-05,XYLENE,38028,ND<0.50,ug/l,
MW-06,BENZENE,38028,1300,ug/l,
MW-06,GW,38028,92.18,Level,
MW-06,TOLUENE,38028,44,ug/l,
MW-06,XYLENE,38028,ND<2.5,ug/l,
MW-07,BENZENE,38028,2500,ug/l,
MW-07,GW,38028,92.17,Level,
MW-07,TOLUENE,38028,3000,ug/l,
MW-07,XYLENE,38028,ND<13,ug/l,
MW-08,BENZENE,38028,610,ug/l,
MW-08,GW,38028,93.44,Level,
MW-08,TOLUENE,38028,220,ug/l,
MW-08,XYLENE,38028,ND<0.50,ug/l,
MW-09,BENZENE,38028,80,ug/l,
MW-09,GW,38028,90.98,Level,
MW-09,TOLUENE,38028,1.4,ug/l,
MW-09,XYLENE,38028,ND<0.50,ug/l,
MW-01,BENZENE,38104,1800,ug/l,
MW-01,GW,38104,92.4,Level,
MW-01,TOLUENE,38104,200,ug/l,
MW-01,XYLENE,38104,67,ug/l,
MW-10,BENZENE,38104,590,ug/l,
MW-10,GW,38104,91.1,Level,
MW-10,TOLUENE,38104,15,ug/l,
MW-10,XYLENE,38104,ND<1.0,ug/l,
MW-11,BENZENE,38104,740,ug/l,
MW-11,GW,38104,91.5,Level,
MW-11,TOLUENE,38104,51,ug/l,
MW-11,XYLENE,38104,ND<0.50,ug/l,
MW-02,BENZENE,38104,53000,ug/l,
MW-02,GW,38104,92.36,Level,
MW-02,TOLUENE,38104,310,ug/l,
MW-02,XYLENE,38104,270,ug/l,
MW-03,BENZENE,38104,ND<10,ug/l,
MW-03,GW,38104,95.14,Level,
MW-03,TOLUENE,38104,ND<1.0,ug/l,
MW-03,XYLENE,38104,ND<0.50,ug/l,
MW-04,BENZENE,38104,160,ug/l,
MW-04,GW,38104,93.86,Level,
MW-04,TOLUENE,38104,620,ug/l,
MW-04,XYLENE,38104,ND<2.5,ug/l,
MW-05,BENZENE,38104,11,ug/l,
MW-05,GW,38104,96.33,Level,
MW-05,TOLUENE,38104,ND<1.0,ug/l,
MW-05,XYLENE,38104,ND<0.50,ug/l,
MW-06,BENZENE,38104,1900,ug/l,
MW-06,GW,38104,92.31,Level,
MW-06,TOLUENE,38104,42,ug/l,
MW-06,XYLENE,38104,ND<1.0,ug/l,
MW-07,BENZENE,38104,3300,ug/l,
MW-07,GW,38104,92.23,Level,
MW-07,TOLUENE,38104,3500,ug/l,
MW-07,XYLENE,38104,ND<13,ug/l,
MW-08,BENZENE,38104,510,ug/l,
MW-08,GW,38104,93.5,Level,
